game,opp,oppscore,shots,league
1,Montgomery Blue Devils 12U A Gold,2,24,o
2,St. James 12U A,STJ,4,30,o
3,Piedmont Predators 12U A,3,28,o
4,Hampton Roads  Whalers 11U AA,3,22,o
5,Carolina Jr Hurricanes 11U AAA,9,44,o
6,Hampton Roads  Whalers 11U AA,5,36,o
7,Piedmont Predators 12U A,2,18,o
8,Hagerstown Bulldogs 12U A,3,23,o
9,NAHA Chargers 12U A,2,22,t1
10,Preds Select 12U A,2,13,t1
11,Jr Preds 11U AA,6,20,t1
12,Atlanta Fire 11U AA,7,31,t1
13,Caps Academy 12U A White,1,9,o
14,NJ Stars 11U A,5,28,e
15,CT Riverhawks 11U AA,5,28,e
16,Jersey Colts 11U A,2,29,e
17,Long Island Arrows 11U AA,5,26,e
18,Montgomery Blue Devils 12U A Blue,1,12,o
19,Maryland Black Bears 12U A,2,20,o
20,Richmond Generals 12U A,0,12,c
21,Richmond Generals 12U A,2,12,e
22,Potomac Patriots 12U A,4,17,c
23,Caps Academy 12U A White,4,25,c
24,Reston Raiders 11U A Blue,7,35,c
25,Richmond Generals 12U A,1,18,c
26,Richmond Generals 12U A,3,23,e
27,Loudoun Knights 12U A Gold,5,25,c
28,Piedmont Predators 12U A,6,26,c
29,Caps Academy 11U A Red,2,25,c
30,Piedmont Predators 12U A,5,31,c
31,Loudoun Knights 12U A Gold,5,29,c
32,Pittsburgh Pens Elite Tier 1 12U,4,21,t2
33,Pittsburgh Viper Stars 12U AA,5,35,t2
34,Pittsburgh Predators 12U A,3,13,t2
35,Pittsburgh Predators 12U A,2,12,t2
36,Reston Raiders 11U A Blue,4,23,c
37,Caps Academy 11U A Red,3,21,c
40,Long Island Arrows 12U A Green,2,18,e
41,New York Stars 12U AA,5,25,e
42,Long Island Arrows 12U A Green,0,11,e
43,Morgantown Blades 12U A,1,12,t3
44,Steel City Ice Renegades 12U A,4,19,t3
45,Armstrong Arrows 12U A,3,15,t3
46,Armstrong Arrows 12U A,0,7,t3
47,Caps Academy 12U A White,3,21,c
48,Potomac Patriots 12U A,2,20,c
49,Tri-City Eagles 12U A,2,25,o
50,Caps Academy 11U A Red,3,20,t4
51,Loudoun Knights 12U A Black,4,21,t4
52,Caps Academy 12U A White,1,26,t4
53,Caps Academy 11U A Red,2,27,t4
54,Ramapo Saints 11U AA,4,42,e


