Timestamp,opponent,scoring_chance,shot_off_pass,shot_off_faceoff,shot_off_turnover,shot_off_rebound,shot_in_slot,shot_in_crease,shot_above_face_off_dots,even_strength,opponent_one_man_advantage,opponent_two_man_advantage,opponent_short_handed,odd_man_rush,breakaway,screen,penalty_shot,wrist,wrap_around,back_door,slap_shot,back_hand,deflected,glove_side,shot_on_ice,center_mass,game_date,goal
3/5/2021 21:43:37,Potomact Patriots 12U A,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,2/28/2021,No
3/5/2021 22:02:52,Potomact Patriots 12U A,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2/28/2021,No
3/5/2021 22:06:19,Potomact Patriots 12U A,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2/28/2021,No
3/5/2021 22:11:20,Potomact Patriots 12U A,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,2/28/2021,No
3/5/2021 22:23:04,Potomact Patriots 12U A,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2/28/2021,No
3/5/2021 22:27:26,Potomact Patriots 12U A,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,2/28/2021,No
3/5/2021 22:33:09,Potomact Patriots 12U A,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,2/28/2021,No
3/5/2021 22:41:01,Potomact Patriots 12U A,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,2/28/2021,No
3/6/2021 13:53:40,Potomact Patriots 12U A,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2/28/2021,No
3/6/2021 13:57:59,Potomact Patriots 12U A,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,2/28/2021,No
3/6/2021 14:05:22,Potomact Patriots 12U A,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,2/28/2021,No
3/6/2021 14:10:08,Potomact Patriots 12U A,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,2/28/2021,No
3/6/2021 14:38:53,Potomact Patriots 12U A,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,2/28/2021,No
3/6/2021 14:47:43,Potomact Patriots 12U A,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,2/28/2021,No
3/6/2021 15:12:12,Potomact Patriots 12U A,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,2/28/2021,Yes
3/6/2021 15:24:10,Potomact Patriots 12U A,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,2/28/2021,No
3/6/2021 15:27:48,Potomact Patriots 12U A,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,2/28/2021,No
3/6/2021 15:31:14,Potomact Patriots 12U A,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,2/28/2021,No
3/6/2021 15:33:13,Potomact Patriots 12U A,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2/28/2021,No
3/6/2021 15:37:31,Potomact Patriots 12U A,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2/28/2021,No
3/6/2021 15:40:27,Potomact Patriots 12U A,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,2/28/2021,No
3/6/2021 15:42:44,Potomact Patriots 12U A,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2/28/2021,Yes
