game,team,period,time,type,goal,ast1,ast2
1,a,1,10:06,es,50,,
1,o,1,00:06,es,,,
1,a,2,09:46,es,4,34,
1,a,2,01:10,es,37,4,
1,a,3,14:27,es,34,50,
1,o,3,01:26,es,,,
1,a,3,00:40,es,50,34,
2,a,1,08:12,es,34,50,
2,o,1,06:56,es,,,
2,a,1,03:20,es,4,14,
2,a,2,09:04,es,34,,
2,o,2,02:07,es,,,
2,a,2,00:43,es,34,,
2,o,3,11:14,pp,,,
2,o,3,00:57,es,,,
3,a,1,07:50,pp,12,,
3,o,1,06:46,es,,,
3,o,1,05:12,es,,,
3,a,2,14:40,es,34,,
3,a,2,13:28,es,12,,
3,a,2,04:55,es,34,,
3,o,3,07:47,pp,,,
3,a,3,00:25,en,4,,
4,o,1,09:48,es,,,
4,o,2,07:48,es,,,
4,a,2,03:12,es,34,,
4,a,3,09:49,es,32,87,
4,o,3,09:39,es,,,
5,a,1,13:23,es,32,34,
5,o,1,00:51,es,,,
5,a,2,14:21,es,12,,
5,o,2,13:38,es,,,
5,o,2,12:06,es,,,
5,o,2,03:01,es,,,
5,o,3,14:52,sh,,,
5,o,3,03:18,es,,,
5,o,3,03:07,es,,,
5,o,3,01:14,es,,,
5,o,3,00:02,es,,,
6,o,1,12:25,es,,,
6,a,1,10:56,es,50,,
6,a,1,08:59,es,37,,
6,o,1,05:00,es,,,
6,a,1,03:15,es,87,,
6,a,2,06:35,es,87,,
6,o,3,11:42,es,,,
6,o,3,09:16,es,,,
6,a,3,06:52,es,34,4,
6,o,3,02:25,es,,,
7,a,1,11:54,pp,87,,
7,a,1,06:04,es,34,,
7,o,3,12:04,es,,,
7,a,3,01:50,en,32,34,
7,o,3,01:17,es,,,
7,a,3,00:13,en,9,15,
8,o,1,06:44,es,,,
8,o,3,06:31,es,,,
8,o,3,05:20,es,,,
9,o,1,02:33,es,,,
9,o,2,12:08,es,,,
10,a,1,11:06,es,9,34,
10,a,1,07:39,es,9,34,
10,a,2,09:09,es,9,12,24
10,a,2,08:13,es,87,37,
10,a,2,00:59,es,34,87,
10,a,3,13:38,es,37,15,
10,o,2,12:56,es,,,
10,o,2,06:23,es,,,
11,o,1,14:42,es,,,
11,o,1,10:09,es,,,
11,o,2,10:38,pp,,,
11,o,2,02:32,es,,,
11,o,3,06:58,es,,,
11,o,3,04:17,es,,,
12,o,1,09:05,es,,,
12,o,1,02:25,es,,,
12,o,2,12:10,es,,,
12,o,2,10:34,pp,,,
12,o,2,06:40,es,,,
12,o,3,14:42,es,,,
12,o,3,12:14,es,,,
13,a,1,10:33,es,50,34,
13,a,1,06:16,es,4,14,
13,a,1,05:34,es,9,50,12
13,a,2,12:08,es,9,15,
13,a,2,07:38,es,9,,
13,a,3,07:25,es,9,,
13,o,3,00:35,es,,,
14,o,1,09:18,es,,,
14,o,1,08:18,es,,,
14,a,1,06:34,es,50,,
14,a,1,04:44,sh,34,32,
14,o,1,03:53,pp,,,
14,o,1,01:40,es,,,
14,o,2,08:45,es,,,
14,a,2,06:17,pp,4,,
14,a,3,14:04,es,34,,
14,a,3,13:57,es,34,9,
14,a,3,03:17,es,37,,
15,o,1,03:13,es,,,
15,o,1,02:04,es,,,
15,o,1,01:39,es,,,
15,o,1,00:48,es,,,
15,o,2,10:18,es,,,
16,o,2,14:14,pp,,,
16,a,2,12:15,es,87,37,12
16,o,2,05:40,pp,,,
16,a,2,05:13,es,34,9,
16,a,3,05:18,es,32,24,15
16,a,3,01:42,en,9,4,
16,a,3,00:04,en,37,,
17,a,1,10:57,es,34,87,
17,o,1,10:40,es,,,
17,a,1,10:09,es,4,37,
17,o,1,09:46,es,,,
17,a,1,05:44,pp,34,,
17,o,2,06:40,es,,,
17,o,3,04:59,es,,,
17,o,3,02:57,es,,,
18,o,1,13:56,es,,,
18,a,2,01:12,es,32,4,15
18,a,3,14:23,es,24,,
19,a,1,14:40,es,4,,
19,a,2,10:30,es,32,,
19,o,2,04:47,es,,,
19,a,3,09:08,es,37,50,
19,o,3,00:48,es,,,
20,a,1,14:21,es,12,,
21,a,1,13:27,es,,,
21,a,1,07:59,es,,,
21,o,1,02:35,es,,,
21,a,2,03:40,es,,,
21,a,3,08:54,es,,,
21,o,3,04:16,sh,,,
