game,player,goals,assists
1,91,2,
1,9,,
1,37,1,1
1,32,,
1,50,,1
1,79,2,
1,39,1,1
1,3,,1
1,24,,
1,15,,
1,14,,
1,34,,
1,12,,
1,5,,
1,11,,
2,91,1,1
2,9,1,1
2,37,,
2,32,,1
2,50,1,
2,79,,1
2,39,2,
2,3,,1
2,24,,
2,15,,
2,14,,
2,34,,
2,12,,
2,5,1,
2,11,,
3,91,1,
3,9,,
3,37,,1
3,32,,
3,50,,
3,79,,
3,39,2,1
3,3,1,
3,24,,
3,15,,
3,14,,
3,34,,
3,12,,1
3,5,,
3,11,,
4,91,,1
4,9,,
4,37,,1
4,32,,
4,50,,
4,79,,
4,39,2,
4,3,1,
4,24,,1
4,15,,
4,14,,
4,34,,
4,12,,
4,5,,
4,11,,
5,91,1,
5,9,,1
5,37,1,1
5,32,,
5,50,,
5,79,1,3
5,39,1,1
5,3,2,1
5,24,1,
5,15,,
5,14,,
5,34,,
5,12,,
5,5,1,
5,11,,
6,91,1,2
6,9,,
6,37,,
6,32,,
6,50,,
6,79,,
6,39,3,
6,3,1,
6,24,,
6,15,,
6,14,,
6,34,,
6,12,,
6,5,,1
6,11,,
7,91,1,
7,9,,1
7,37,,
7,32,1,
7,50,,
7,79,,1
7,39,1,
7,3,3,1
7,24,,
7,15,,1
7,14,,
7,34,,
7,12,,
7,5,,
7,11,1,1
8,91,1,
8,9,1,
8,37,1,
8,32,,
8,50,,
8,79,,
8,39,,1
8,3,,
8,24,,
8,15,,1
8,14,,
8,34,,
8,12,,
8,5,,1
8,11,,
9,91,,1
9,9,,
9,37,,
9,32,,
9,50,,
9,79,,
9,39,2,
9,3,,1
9,24,1,
9,15,,
9,14,,
9,34,,1
9,12,,
9,5,1,
9,11,,
10,91,,
10,9,,
10,37,,
10,32,,
10,50,,
10,79,,
10,39,,
10,3,,
10,24,,
10,15,,
10,14,,
10,34,,
10,12,,
10,5,,
10,11,,
11,91,1,
11,9,,
11,37,,
11,32,,
11,50,,
11,79,1,
11,39,,
11,3,3,1
11,24,,
11,15,1,1
11,14,,
11,34,,
11,12,,1
11,5,1,
11,11,1,
12,91,,
12,37,,
12,24,,
12,39,1,
12,3,,
12,11,1,
12,32,,
12,9,,
12,79,,
12,15,,
12,12,,
12,14,,
12,34,,1
12,5,,
12,50,,
13,91,,
13,37,,2
13,24,,
13,39,,
13,3,1,
13,11,,
13,32,,
13,9,2,
13,79,,
13,15,,
13,12,,
13,14,,
13,34,,
13,5,,
13,50,,1
14,91,,
14,37,,
14,24,,
14,39,,
14,3,,
14,11,,
14,32,,
14,9,,
14,79,1,
14,15,,
14,12,,
14,14,,
14,34,,
14,5,,
14,50,,1
15,91,1,
15,37,,
15,24,,
15,39,,1
15,3,1,
15,11,,
15,32,,
15,9,,
15,79,,
15,15,,
15,12,,
15,14,,
15,34,,
15,5,,
15,50,,
16,91,,
16,37,,
16,24,,
16,39,2,
16,3,,
16,11,,
16,32,,1
16,9,,
16,79,1,
16,15,,
16,12,,
16,14,,
16,34,,
16,5,1,
16,50,,
17,91,,
17,37,1,
17,24,,1
17,39,,
17,3,2,
17,11,,
17,32,,
17,9,,
17,79,,1
17,15,,1
17,12,,
17,14,,
17,34,,
17,5,,
17,50,,
18,91,,
18,37,,
18,24,,
18,39,,
18,3,,
18,11,,
18,32,,
18,9,,
18,79,,
18,15,,
18,12,,
18,14,,
18,34,,
18,5,,
18,50,,
19,91,2,
19,37,,1
19,24,,
19,39,2,
19,3,1,2
19,11,,
19,32,,
19,9,,
19,79,,
19,15,,
19,12,,
19,14,,
19,34,1,
19,5,,
19,50,,
20,91,,1
20,37,,
20,24,,1
20,39,1,
20,3,,
20,11,,
20,32,,
20,9,1,
20,79,1,
20,15,,
20,12,,
20,14,,
20,34,,
20,5,,
20,50,,
21,91,3,
21,37,1,
21,24,,
21,39,2,2
21,3,2,4
21,11,,
21,32,,1
21,9,,
21,79,2,1
21,15,,
21,12,,
21,14,,
21,34,,
21,5,,
21,50,,
22,91,1,
22,37,1,
22,24,,
22,39,2,
22,3,,1
22,11,,
22,32,,
22,9,,
22,79,,
22,15,,
22,12,,
22,14,,
22,34,,
22,5,,
22,50,,
23,91,,
23,37,,
23,24,,
23,39,3,
23,3,,1
23,11,1,
23,32,,
23,9,1,
23,79,2,
23,15,,
23,12,,
23,14,,1
23,34,,1
23,5,,1
23,50,,
24,91,1,
24,37,,
24,24,,
24,39,,1
24,3,,
24,11,,
24,32,1,
24,9,1,
24,79,,
24,15,,
24,12,,
24,14,,
24,34,,
24,5,,
24,50,,
25,91,,1
25,37,1,
25,24,,
25,39,2,
25,3,,1
25,11,,
25,32,,
25,9,,
25,79,,
25,15,,
25,12,,
25,14,,
25,34,,
25,5,,
25,50,,
26,91,,
26,37,,
26,24,,
26,39,,
26,3,,
26,11,,
26,32,,
26,9,,
26,79,,
26,15,,
26,12,,
26,14,,
26,34,,
26,5,,
26,50,,
27,91,,1
27,37,1,
27,24,,
27,39,,1
27,3,1,1
27,11,,
27,32,,
27,9,,
27,79,1,
27,15,,
27,12,,
27,14,,
27,34,,
27,5,1,
27,50,,
28,91,,
28,37,,
28,24,,
28,39,4,
28,3,,1
28,11,1,
28,32,,
28,9,,1
28,79,,
28,15,,
28,12,,1
28,14,,
28,34,,
28,5,,
28,50,,
29,91,,1
29,37,,
29,24,,
29,39,,
29,3,,
29,11,1,
29,32,,
29,9,,
29,79,1,1
29,15,,
29,12,,
29,14,,
29,34,,
29,5,,
29,50,,
30,91,,2
30,37,,
30,24,,
30,39,2,1
30,3,,
30,11,,
30,32,,
30,9,,
30,79,,
30,15,,
30,12,,
30,14,,
30,34,,
30,5,1,
30,50,,
31,91,,
31,37,1,
31,24,,
31,39,,
31,3,,
31,11,,
31,32,,
31,9,,
31,79,,
31,15,,1
31,12,,
31,14,,
31,34,,
31,5,,
31,50,,
32,91,1,2
32,37,,
32,24,,
32,39,,1
32,3,2,
32,11,,
32,32,,
32,9,,
32,79,,
32,15,,
32,12,,
32,14,,
32,34,,
32,5,,
32,50,,
33,91,1,
33,37,,
33,24,,
33,39,,
33,3,,
33,11,,
33,32,,
33,9,,
33,79,,
33,15,,
33,12,,
33,14,,
33,34,,
33,5,,
33,50,,
34,91,,
34,37,,
34,24,,
34,39,,
34,3,,
34,11,,
34,32,,
34,9,,
34,79,,
34,15,,
34,12,,
34,14,,
34,34,,
34,5,,
34,50,,
35,91,,
35,37,,
35,24,,
35,39,,
35,3,,
35,11,,
35,32,,
35,9,,
35,79,,
35,15,,
35,12,,
35,14,,
35,34,,
35,5,,
35,50,,
36,91,1,
36,37,,
36,24,,
36,39,1,
36,3,1,1
36,11,1,
36,32,,
36,9,,1
36,79,,
36,15,,
36,12,,
36,14,,1
36,34,,
36,5,,
36,50,,
37,91,1,1
37,37,,2
37,24,,
37,39,,1
37,3,1,
37,11,,
37,32,,
37,9,2,
37,79,,
37,15,,
37,12,,
37,14,,
37,34,,
37,5,,
37,50,,
38,91,2,
38,37,,
38,24,,
38,39,,2
38,3,,
38,11,,
38,32,,
38,9,,
38,79,,
38,15,,
38,12,,
38,14,,
38,34,,
38,5,,
38,50,,
39,91,2,1
39,37,,
39,24,,
39,39,1,2
39,3,,2
39,11,2,
39,32,,
39,9,1,
39,79,,1
39,15,,
39,12,,
39,14,,
39,34,,
39,5,,
39,50,,
40,91,2,
40,37,,
40,24,,
40,39,1,
40,3,,1
40,11,,
40,32,,
40,9,,
40,79,,
40,15,,1
40,12,,1
40,14,,
40,34,,
40,5,,
40,50,,
41,91,1,
41,37,,
41,24,,
41,39,,1
41,3,,
41,11,,
41,32,,
41,9,,
41,79,,
41,15,,
41,12,,
41,14,,
41,34,,
41,5,,
41,50,,
