game,team,period,time,type
1,a,1,10:27,Check
1,a,1,10:14,Hook
1,o,1,2:02,
1,a,2,12:50,Rough
1,a,2,12:50,10-Minute
2,o,1,04:15,
2,o,2,11:08,
2,a,2,07:28,Rough
2,a,3,14:04,Too Many
2,o,3,11:07,
2,o,3,04:49,
3,o,1,02:27,
3,a,2,04:56,Trip
3,o,2,00:15,
3,o,3,13:31,
3,o,3,03:15,
3,o,3,01:04,
4,o,1,11:10,
4,a,1,09:34,Trip
4,o,1,06:21,
4,o,2,10:02,
4,a,2,00:27,Slash
4,o,3,10:08,
4,o,3,01:02,
5,o,2,09:06,
5,o,2,03:09,
5,a,3,14:07,Trip
6,o,1,07:37,
6,a,2,01:29,Too Many
6,a,3,01:26,Interference
7,o,1,14:31,
7,o,2,05:02,
7,o,2,03:46,
8,a,1,05:23,Trip
8,a,2,11:04,Rough
8,o,3,07:53,
8,a,3,02:25,Rough
8,a,3,02:25,Rough
9,o,1,10:01,
9,o,1,09:33,
9,o,3,04:04,
10,o,1,12:10,
10,o,2,14:35,
10,a,3,05:47,Rough
11,a,2,12:27,Trip
11,a,2,10:40,Trip
11,a,2,05:05,Trip
11,a,3,06:59,Interference
12,a,1,00:54,Interference
12,o,3,04:24,
13,o,1,11:02,
13,a,2,00:54,Trip
13,o,3,14:33,
13,a,3,14:13,Slash
13,o,3,13:09,
13,o,3,06:25,
13,o,3,01:47,
14,a,3,02:50,Trip
14,o,3,02:20,
15,o,2,09:09,
15,a,2,01:10,Trip
16,a,1,06:29,Hook
16,o,2,11:15,
16,a,2,01:36,Interference
16,a,2,00:18,Rough
16,a,3,13:13,Trip
16,a,3,05:33,Trip
17,o,1,00:03,
17,a,3,06:54,Rough
18,a,1,14:11,Rough
18,a,1,11:40,Interference
18,o,2,01:49,
18,o,3,04:12,
19,a,2,00:00,High Stick
19,o,3,12:11,
19,a,3,07:53,Trip
19,o,3,05:52,
20,a,1,08:24,Rough
20,a,1,01:03,Hook
20,a,1,00:26,Rough
20,o,2,07:17,
20,o,2,06:35,
20,o,2,04:13,
20,o,3,11:05,
20,o,3,08:59,
21,o,1,08:10,
21,o,1,00:14,
21,a,2,09:00,Slash
21,o,2,08:30,
22,a,1,10:27,Interference
22,a,1,00:31,Trip
22,o,2,00:49,
23,o,1,09:30,
23,o,1,02:24,
23,o,1,01:22,
23,a,2,06:17,Hook
23,a,2,02:49,Rough
23,o,3,12:40,
23,o,3,00:15,
24,o,1,11:18,
24,o,1,03:31,
24,o,2,11:16,
24,o,2,08:24,
24,a,2,03:40,Interference
24,a,2,02:14,Hook
24,o,3,11:58,
24,a,3,10:24,Check
24,a,3,10:24,10-Minute
24,o,3,08:14,
24,a,3,07:00,Rough
24,a,3,07:00,High Stick
24,o,3,05:47,
24,o,3,01:23,
25,a,1,03:30,Trip
25,a,2,10:54,Check
25,o,3,06:05,
26,o,2,13:30,
26,o,2,13:20,
26,o,2,09:34,
26,a,2,05:27,Slash
26,a,2,03:33,Hook
26,a,3,05:05,Trip
27,o,3,03:18,
27,o,3,00:51,
28,o,1,04:19,
28,o,2,06:20,
28,a,3,13:55,Hook
28,a,3,10:44,Trip
28,o,3,03:26,
29,a,1,01:18,Rough
29,o,2,01:33,
29,o,3,08:54,
29,o,3,02:21,
29,o,3,01:26,
30,o,1,09:49,
30,a,2,11:50,Hook
30,a,2,10:00,Elbow
31,a,3,04:28,Hook
32,o,2,07:46,
32,o,3,11:21,
33,o,1,06:45,
33,o,1,01:18,
33,a,2,11:18,High Stick
33,o,2,03:18,
33,a,2,01:40,Slash
33,o,3,13:12,
33,a,3,00:22,Slash
34,o,1,08:09,
34,o,1,05:49,
34,o,2,11:14,
34,a,2,10:35,Rough
34,o,2,10:35,
34,a,2,09:05,Trip
35,o,1,11:39,
