game,ashburn_p1,ashburn_p2,ashburn_p3,ashburn_ot,opp_p1,opp_p2,opp_p3,opp_ot
1,12,8,12,0,5,6,4,0
2,11,12,16,0,2,2,3,0
3,5,8,9,0,10,10,7,0
4,7,5,7,0,13,4,9,0
5,11,9,12,0,4,3,5,0
6,7,12,7,0,4,2,4,0
7,5,14,8,0,3,2,4,0
8,8,9,15,0,4,2,1,0
9,7,4,6,0,3,8,5,0
10,5,10,1,0,3,6,9,0
11,11,6,16,0,5,4,1,0
12,5,7,7,0,5,3,8,0
13,12,10,8,0,7,9,3,0
14,5,6,5,0,4,6,4,0
15,7,5,3,0,5,13,9,0
16,7,13,9,0,9,4,4,0
17,4,7,9,2,7,7,13,0
18,3,6,8,0,11,11,6,0
19,7,12,9,0,3,6,8,0
20,11,6,9,0,10,5,10,0
21,8,16,12,0,3,3,1,0
22,13,8,11,2,0,5,8,0
23,7,9,9,0,4,5,5,0
24,9,5,8,0,2,5,8,0
25,5,4,6,0,6,8,3,0
26,6,5,4,0,15,10,14,0
27,13,9,14,0,7,3,4,0
28,15,11,14,0,3,4,12,0
29,7,17,9,0,7,3,2,0
30,4,5,3,0,9,14,9,0
31,11,4,11,0,5,2,9,0
32,3,5,9,0,7,5,5,0
33,7,8,10,0,5,5,4,0
34,4,4,3,0,5,3,13,0
35,1,7,5,0,9,7,8,0
36,9,11,11,0,0,0,5,0
37,10,7,6,0,0,5,6,0
38,4,9,7,0,7,5,4,0
39,9,9,5,0,5,3,9,0
40,12,12,13,0,6,4,4,0
41,7,7,4,0,2,6,10,0
42,5,8,11,0,3,3,10,0
