Player,Games Played,Goals,Assists,Points,PPG,SHG,GWG,Plus/Minus,Shots,Shot Attempts,Shot %,Penalty Minutes,Faceoff Won,Faceoff Lost,FW%,Goalie MIN,Goalie SOG,Goalie GA,Goalie GAA,Goalie SV,Goalie SV%,Goalie SO
4,33,9,6,15,1,0,0,-18,73,111,12.33%,4,0,3,0.00%,,,,,,,
9,32,18,7,25,1,0,2,-6,123,179,14.63%,30,98,101,49.25%,,,,,,,
12,33,9,6,15,1,0,1,0,78,125,11.54%,14,0,1,0.00%,,,,,,,
14,32,3,4,7,0,0,0,-15,52,108,5.77%,12,28,31,47.46%,,,,,,,
15,33,3,6,9,0,0,1,1,69,169,4.35%,16,0,0,#DIV/0!,,,,,,,
20,17,0,0,0,0,0,0,-14,2,10,0.00%,4,0,0,#DIV/0!,,,,,,,
24,30,1,4,5,0,0,0,-11,28,80,3.57%,12,0,0,#DIV/0!,,,,,,,
32,33,7,5,12,0,0,3,-12,61,91,11.48%,22,0,3,0.00%,,,,,,,
34,30,18,8,26,1,1,4,-4,132,207,13.64%,2,221,194,53.25%,,,,,,,
37,33,12,6,18,1,0,2,-17,105,141,11.43%,2,312,311,50.08%,,,,,,,
50,33,7,7,14,1,0,0,-5,70,110,10.00%,6,32,78,29.09%,,,,,,,
87,33,6,6,12,1,0,1,-15,55,93,10.91%,10,0,6,0.00%,,,,,,,
29,33,0,0,0,0,0,0,0,0,0,#DIV/0!,2,0,0,#DIV/0!,1485,837,122,3.70,715,85.42%,1
